INSERT INTO computer(cpu_id,gpu_id,dr_id1,dr_id2,ram1_id,ram2_id,m_id,kb_id,mon_id,room_id,assign_date,move_date) VALUES(5,6,1,NULL,3,3,3,2,3,7,'2024-04-04','2024-06-03'),
(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),
(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),
(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),
(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),
(4,3,6,NULL,1,NULL,1,3,3,1,'2024-04-04','2024-06-03'),(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),
(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),
(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),
(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),
(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),
(3,4,4,4,4,4,1,2,2,7,'2024-04-04','2024-06-03'),(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),
(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),
(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),
(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),
(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),
(3,4,2,2,2,2,1,2,3,2,'2024-01-01','2024-06-03'),(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),
(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),
(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),
(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),
(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),
(2,4,2,NULL,4,NULL,3,1,2,6,'2024-10-10','2024-06-03'),(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),
(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),
(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),
(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),
(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),
(3,6,1,NULL,2,NULL,2,1,3,4,'2024-04-04','2024-06-03'),(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),
(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),
(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),
(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),
(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),
(3,6,2,NULL,2,NULL,3,2,1,3,'2024-01-01','2024-06-03'),(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),
(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),
(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),
(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),
(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),
(2,2,2,NULL,3,3,1,3,3,4,'2024-01-01','2024-06-03'),(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),
(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),
(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),
(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),
(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),
(1,1,6,6,2,NULL,1,3,3,3,'2024-04-04','2024-06-03'),(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),
(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),
(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),
(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),
(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),
(1,4,6,NULL,1,NULL,1,1,1,5,'2024-01-01','2024-06-03'),(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),
(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),
(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),
(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),
(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),
(2,5,4,NULL,1,1,3,3,1,4,'2024-10-10','2024-06-03'),(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),
(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),
(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),
(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),
(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),
(5,1,6,NULL,2,2,1,1,1,8,'2024-10-10','2024-06-03'),(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),
(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),
(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),
(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),
(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),
(3,4,6,NULL,4,NULL,2,1,1,NULL,'2024-01-01',NULL),(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),
(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),
(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),
(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),
(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),
(3,4,5,5,2,2,3,1,1,7,'2024-04-04','2024-06-03'),(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),
(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),
(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),
(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),
(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),
(3,2,6,6,3,3,2,3,2,2,'2024-10-10','2024-06-03'),(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,6,6,1,1,1,1,1,8,'2024-04-04','2024-06-03'),(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),
(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),
(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),
(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),
(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),
(2,1,5,NULL,4,NULL,2,2,3,4,'2024-01-01','2024-06-03'),(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),
(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),
(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),
(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),
(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),
(5,4,3,3,2,NULL,3,1,3,1,'2024-10-10','2024-06-03'),(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),
(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),
(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),
(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),
(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),
(1,2,4,4,1,1,1,2,1,8,'2024-04-04','2024-06-03'),(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),
(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),
(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),
(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),
(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),
(3,3,6,NULL,3,3,1,1,3,2,'2024-10-10','2024-06-03'),(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),
(4,1,5,NULL,5,NULL,1,1,1,8,'2024-04-04','2024-06-03'),(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),
(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),
(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),
(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),
(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),
(5,4,4,NULL,2,2,2,1,1,3,'2024-04-04','2024-06-03'),(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),
(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),
(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),
(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),
(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),
(4,4,3,NULL,3,3,1,1,3,8,'2024-01-01','2024-06-03'),(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),
(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),
(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),
(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),
(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),
(1,2,1,NULL,4,4,1,2,2,1,'2024-01-01','2024-06-03'),(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),
(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),
(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),
(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),
(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),
(4,4,1,1,2,2,3,2,1,1,'2024-04-04','2024-06-03'),(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),
(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),
(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),
(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),
(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),
(1,4,3,3,4,NULL,3,3,2,2,'2024-01-01','2024-06-03'),(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),
(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),
(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),
(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),
(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),
(2,3,6,NULL,5,NULL,1,3,1,2,'2024-04-04','2024-06-03'),
